Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
16;511;553.9350013298006;1.4844436026234984
17;511;553.9349990509654;1.4844491854796347
18;511;553.935000814661;1.484452125637173
19;511;553.9350029010103;1.4844536803068116
20;511;553.9350044198449;1.4844545053926967
21;511;553.9350053595799;1.4844549446459452
22;511;553.9350058916954;1.4844551790924558
23;511;553.9350061768391;1.4844553044817055
24;511;553.9350063239253;1.4844553716531295
25;511;553.9350063961297;1.4844554076823764
26;511;553.9350064327544;1.4844554270278678
27;511;553.9350064485308;1.4844554374205567
28;511;553.9350064562095;1.4844554430087828
29;511;553.9350064595884;1.4844554460160195
30;511;553.935006460272;1.484455447633012
31;511;553.9350064602833;1.4844554485037469
1;512;555.9236402890128;1.224847506447
2;512;555.0954820158784;1.3530294240989293
3;512;554.7192823737523;1.4198574680385851
4;512;554.5712264411942;1.4540951064565042
5;512;554.4986645146679;1.4709153353666917
6;512;554.4725698592835;1.479254114493458
7;512;554.4514727976717;1.4833447801800084
8;512;554.4409306015889;1.485327171253178
9;512;554.436251290327;1.4862920479866564
10;512;554.4344320479145;1.4867740172482093
11;512;554.4336438356972;1.4870261964143119
12;512;554.4331421672083;1.4871625175536185
13;512;554.4328354522663;1.487236036371383
14;512;554.4326909307756;1.4872750367220202
15;512;554.4326384395301;1.4872955067265121
16;512;554.4326251423565;1.4873062238249513
17;512;554.4326249516849;1.487311846445091
18;512;554.4326277238993;1.4873148075204583
19;512;554.4326303045661;1.4873163732473629
20;512;554.4326320707302;1.4873172042066976
21;512;554.4326331343907;1.4873176465915108
22;512;554.4326337310358;1.4873178827116202
23;512;554.4326340498305;1.4873180089991724
24;512;554.4326342146069;1.4873180766532745
25;512;554.4326342972851;1.4873181129430322
26;512;554.4326343373517;1.4873181324275757
27;512;554.4326343567486;1.4873181428970332
28;512;554.4326343656974;1.4873181485246887
29;512;554.4326343698085;1.4873181515537868
30;512;554.4326343711871;1.4873181531822308
31;512;554.4326343722986;1.48731815406059
1;513;556.349002830347;1.226039683098126
2;513;555.5454498317681;1.3550017532738383
3;513;555.1933129230115;1.4222701489725378
4;513;555.0592010477482;1.4567327547089157
5;513;554.9942996622095;1.4736727022915763
6;513;554.9718797820246;1.482066516145466
7;513;554.9528447005263;1.4861862701282618
8;513;554.9432966794427;1.4881829303361929
9;513;554.9390930213705;1.489154724335599
10;513;554.9374972330157;1.4896400306306838
11;513;554.9368223604406;1.4898938923756753
12;513;554.9363865628117;1.4900311344344208
13;513;554.9361177225936;1.4901051688966391
14;513;554.9359929954701;1.490144449877713
15;513;554.9359501255238;1.4901650687432169
16;513;554.9359413471452;1.4901758639915976
17;513;554.9359432624697;1.4901815276197872
18;513;554.9359470235878;1.4901845102898819
19;513;554.9359500766282;1.4901860874464923
20;513;554.9359520728442;1.4901869244830064
21;513;554.9359532512353;1.490187370110294
22;513;554.9359539060767;1.4901876079686711
23;513;554.9359542552972;1.4901877351870993
24;513;554.9359544359452;1.4901878033436842
25;513;554.9359545271666;1.490187839901198
26;513;554.9359545722863;1.4901878595325933
27;513;554.9359545937381;1.4901878700808604
28;513;554.9359546040663;1.4901878757507245
29;513;554.9359546087921;1.4901878788019216
30;513;554.935954610863;1.490187880443908
31;513;554.9359546116452;1.4901878813276404
1;514;556.7592409618367;1.2272333857713789
2;514;555.9909282569581;1.356974367237572
3;514;555.6680963316118;1.424681948208328
4;514;555.5503121311234;1.4593688500339492
5;514;555.4942376988922;1.4764280074054565
6;514;555.4760209860651;1.4848765996752251
7;514;555.4593693239761;1.4890253362756631
8;514;555.4509748996511;1.4910362195335847
9;514;555.4473216052082;1.4920149205009365
10;514;555.4459825818113;1.4925035744540933
11;514;555.4454362980092;1.4927591373178843
12;514;555.4450740144833;1.4928973168534223
13;514;555.4448467563865;1.4929718781684738
14;514;555.4447433748752;1.4930114464091082
15;514;555.444710662069;1.4930322178411966
16;514;555.4447065374596;1.4930430932677203
17;514;555.4447105621946;1.4930487990100256
18;514;555.4447152857543;1.4930518038825296
19;514;555.4447187853599;1.493053392799332
20;514;555.4447209935572;1.4930542360937242
21;514;555.4447222754909;1.4930546850656354
22;514;555.4447229822182;1.4930549247144187
23;514;555.4447233581734;1.4930550528971753
24;514;555.4447235527814;1.4930551215698102
25;514;555.444723651385;1.4930551584089988
26;514;555.4447237004546;1.4930551781885324
27;514;555.4447237243832;1.493055188818653
28;514;555.4447237358298;1.4930551945333919
29;514;555.444723741306;1.4930551976071658
30;514;555.4447237437515;1.493055199261855
31;514;555.4447237448601;1.4930552001529873
1;515;557.1541440874133;1.2284244904240684
2;515;556.4318475600369;1.358940708822915
3;515;556.1435464544375;1.4270849925064506
4;515;556.0444493789452;1.4619948557225715
5;515;555.9983524757005;1.479172362010428
6;515;555.9848591746772;1.4876753209801898
